file,e2n_e,e2n_n,n2e_n,n2e_e
media/java/android/media/RemoteDisplay.java,,1,,
errorprone/tests/res/android/os/Handler.java,,1,,
services/core/java/com/android/server/display/WifiDisplayController.java,7,3,5,1
services/core/java/com/android/server/input/InputManagerService.java,1,,3,3
services/core/java/com/android/server/locksettings/LockSettingsService.java,4,,2,1
services/core/java/com/android/server/locksettings/LockSettingsStorage.java,1,1,,1
services/core/java/com/android/server/net/NetworkPolicyManagerService.java,17,6,6,6
core/java/android/util/SparseIntArray.java,,1,,
errorprone/tests/res/android/os/Binder.java,,10,,
core/java/com/android/internal/util/XmlUtils.java,,3,,
services/core/java/com/android/server/net/NetworkPolicyManagerShellCommand.java,12,12,12,12
services/core/java/com/android/server/notification/NotificationManagerService.java,15,4,5,4
core/java/android/service/notification/StatusBarNotification.java,,5,,
services/core/java/com/android/server/notification/NotificationRecord.java,,5,,
services/core/java/com/android/server/notification/PreferencesHelper.java,3,3,,
services/core/java/com/android/server/pm/PackageManagerService.java,8,,4,4
core/java/android/content/ComponentName.java,,3,,
services/core/java/com/android/server/pm/parsing/pkg/AndroidPackageUtils.java,,1,,
services/core/java/com/android/server/pm/PackageSettingBase.java,,2,,
services/core/java/com/android/server/policy/PhoneWindowManager.java,48,8,27,25
core/java/com/android/internal/app/AssistUtils.java,,1,,
services/core/java/com/android/server/statusbar/StatusBarManagerInternal.java,,1,,
services/core/java/com/android/server/wm/DisplayPolicy.java,3,2,,
apex/jobscheduler/framework/java/android/app/AlarmManager.java,,2,,
core/java/android/hardware/camera2/CameraManager.java,,6,2,
errorprone/tests/res/android/app/PendingIntent.java,,1,,
core/java/android/hardware/camera2/CameraCharacteristics.java,,2,,
services/core/java/com/android/server/power/Notifier.java,6,1,2,4
services/core/java/com/android/server/power/SuspendBlocker.java,,3,,
services/core/java/com/android/server/power/PowerManagerService.java,29,6,18,3
core/java/com/android/internal/display/BrightnessSynchronizer.java,,1,,
core/java/android/hardware/Sensor.java,,1,,
telephony/java/android/telephony/TelephonyManager.java,,2,,
services/core/java/com/android/server/power/ShutdownThread.java,1,1,,2
services/core/java/com/android/server/statusbar/StatusBarManagerService.java,1,1,1,
services/core/java/com/android/server/VpnManagerService.java,6,,,
core/java/android/net/NetworkStack.java,,1,,
services/core/java/com/android/server/connectivity/VpnProfileStore.java,,2,,
core/java/com/android/internal/net/VpnProfile.java,,1,,
services/core/java/com/android/server/WiredAccessoryManager.java,6,,5,5
services/core/java/com/android/server/wm/WindowManagerService.java,2,,,
services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,3,3,,
core/java/android/app/KeyguardManager.java,,,1,
core/java/android/bluetooth/le/AdvertiseData.java,,,1,1
core/java/android/bluetooth/le/ScanFilter.java,,,5,3
core/java/android/bluetooth/le/ScanRecord.java,,,,2
core/java/android/os/BatteryUsageStats.java,,,2,
core/java/android/widget/AbsSeekBar.java,,,1,1
core/java/com/android/internal/os/BatteryUsageStatsProvider.java,,,1,
core/java/com/android/internal/widget/LockPatternView.java,,,5,11
packages/SettingsProvider/src/com/android/providers/settings/DatabaseHelper.java,,,1,
packages/SystemUI/src/com/android/keyguard/KeyguardAbsKeyInputViewController.java,,,1,
